,0,1,2,3,4,5
2234,2017-2018 Y,6/8/2018,"person hold
Transportation","Student was going after staff in seat so a one person small child hold was utilized for staff, student and",,
2235,,,StudentDiscipline_L,,,
2236,SchoolYear BIP EffectiveIncidentDate,,"Disposition
ocation",StudentDiscipline_Description,,
2237,,,Small child restraint 1,xxx was in the calm room and became aggressive towards staff and other kids. He was placed into a small,,
2238,2017-2018 N,9/21/2017,"person hold
Calm Room",child hold for 4 minutes,,
2239,,,StudentDiscipline_Lo,,,
2240,SchoolYear BIP EffectiveIncidentDate,,"Disposition
cation",StudentDiscipline_Description,,
2241,,,,xxx became escalated when he was told to make up work before he could shop at B Mart with his Bee Bucks.,,
2242,,,,"xxx yelled, cried and ran around the classroom. He continued to throw classroom objects and climbed on",,
2243,,,,"tables. At 12:28, xxx was put into a two person small child hold after he crawled under a table and tried to",,
2244,,,Small child restraint,"play with electrical wires. At 12:36, staff was able to release xxx from the hold. He stopped kicking and",,
2245,2018-2019 Y,10/4/2018,"2 person hold
Classroom",showed a controlled body. Staff was able to talk with xxx about his unsafe behavior at this time. Staff helped,,
2246,,,,"During last math center, xxx exhibited refusal and put himself in the corner. He continued to escalate as class",,
2247,,,,"transitioned to the next activity. He climbed, jumped off tables, threw objects and played with wires. At 1:56",,
2248,,,,"when beginning to playing with wires, staff put xxx in a 2 person small child hold. After 19 minutes of not",,
2249,,,,"being able to de-escalate, staff released xxx from the hold at 2:15. Mental Health staff switched out with",,
2250,2018-2019 Y,,10/10/2018 2 person seated hold Classroom,teacher and SBA at this time. After about 10 minutes of sitting on lap of Mental Health Worker and listened,,
2251,,,,Student was with class at a field trip but when it came time to leave student refused. He became very upset,,
2252,,,Small child restraint,and tried to run from adults as well as yelling and screaming and thrashing his body around. He was placed in,,
2253,2018-2019 Y,12/11/2018,"2 person hold
Other",a  small child 2 person hold per the teachers request for his safety. He was released soon after and calming,,
2254,,,,"During a center, xxx was coughing a lot. Teacher told xxx that he didn't sound good and that if he was feeling",,
2255,,,,sick and kept coughing then he should stay home tomorrow and rest. xxx said that he wanted to come to,,
2256,,,,"school. Teacher said she understood, but wanted to make sure xxx felt better. At this time, xxx ran out of the",,
2257,,,,classroom and started down the hall. Teacher caught up with him and directed  him back towards classroom,,
2258,,,,"to sit at cubbies. Once back at cubbies, xxx sat on teacher's lap, but then tried to run again. At this time,",,
2259,,,,teacher guided xxx to nurse's office for a break in an area out of classroom where he could not run. xxx was,,
2260,,,,"in the room for a couple minutes. However, staff came to update teacher and left the door open and xxx",,
2261,,,,"bolted from the room into the Library. Teacher was able to get xxx to leave Library. At this point, he ran",,
2262,,,Small child restraint,"toward the classroom. Once in the classroom, xxx tried climbing furniture. At this time, teacher put xxx in a",,
2263,2018-2019 Y,1/8/2019,"1 person hold
Classroom",small child hold. He was able to be released in under 2 minutes. Classroom staff timed the hold. xxx was able,,
2264,,,,"When xxx noticed makeup work written on the board, he yelled that he didn't want to make up work and ran",,
2265,,,Small child restraint,out of room. Continued to run out of school when staff followed him. Staff was able to get xxx to walk back,,
2266,2018-2019 Y,1/16/2019,"1 person hold
Classroom","to classroom, but he climbed on furniture and threw baskets of books from shelf. Staff put xxx in a small child",,
2267,,,,"While transitioning between activities, xxx became upset. He thought that he had missed out on something",,
2268,,,,"and began to yell, cry and climb on various surfaces. Staff needed to put xxx in a small child hold when he",,
2269,,,Small child restraint,was unable to follow directives to stop the behavior. Staff held xxx for 8 minutes in a 2 person small child,,
2270,2018-2019 Y,1/25/2019,"2 person hold
Classroom","hold. When he did not appear to be calming, teacher requested that staff grab a freeze pop in an effort to",,
2271,,,StudentDiscipline_Lo,,,
2272,SchoolYear BIP EffectiveIncidentDate,,"Disposition
cation",StudentDiscipline_Description,,
2273,,,,"xxx became upset when he had to leave the  tent in the classroom for bee bucks. At this time, xxx began",,
2274,,,,"yelling, crying and tried climbing several objects. Teacher put xxx in a hold for his safety and sent staff for",,
2275,,,,mental health provider. Teacher was concerned that she had to put student in a hold for the second time in,,
2276,,,Small child restraint,"under an hour. While in the hold, mental health provider came to classroom and was able to talk to xxx. He",,
2277,2018-2019 Y,1/25/2019,"1 person hold
Classroom",was able to stop fighting the teacher and agreed to go to her office with her.,,
2278,,,,Ran from staff on way back from getting breakfast in Cafeteria. Was upset about not being allowed to eat,,
2279,,,Small child restraint,gummy snacks before his breakfast food. He began yelling and throwing books in the calm corner once back,,
2280,2018-2019 Y,3/5/2019,"1 person hold
Classroom","in classroom. After refusing break choices and continuing to escalate, xxx was put in a 1 person small child",,
2281,,,,Ran from class without permission and then refused to follow directions shortly after. He began climbing on,,
2282,,,Small child restraint,furniture when told to take a seat at his desk. He threw objects and yelled. Staff put xxx in a 2 person small,,
2283,2018-2019 Y,3/5/2019,"2 person hold
Classroom","child hold when xxx refused to get down safely. After 4 minutes, staff released student from hold and xxx",,
2284,,,,"When asked to write, xxx became escalated. He ran to corner and began throwing book and playing with",,
2285,,,,"closet doors. When his finger was pinched between the doors, xxx escalated further. He screamed, tried",,
2286,,,,"hitting and kicking staff, and attempted to climb on furniture. At this time, staff put xxx in a 2 person small",,
2287,,,,"child hold for safety. After 7 minutes, staff was able to fully release student. Nurse came over to check out",,
2288,,,,"xxx and gave him a freeze pop to help him deescalate. After finishing his freeze pop, xxx began to ask for",,
2289,,,,"ipad. When told no and reminded that it was time for Library/Computer, xxx began to escalate again.",,
2290,,,,Teacher agreed to give him 3 minutes and told him that the 3 minutes would be coming off of his ipad time,,
2291,,,,"during his free time later. xxx calmly played his game, but when the timer went off and teacher took the ipad",,
2292,,,,"away, he escalated again. Teacher tried to allow him time with a peer's light switch resource. xxx kept staring",,
2293,,,,"into the light and teacher took the light away when student refused to stop. At this time, xxx began running",,
2294,2018-2019 Y,,3/13/2019 2 person seated hold Classroom,around the classroom throwing objects and climbing on furniture. He fell and hit his knee while running and,,
2295,,,,"Student could not calm himself when sitting with a staff for a break, tried kicking and scratching and pinching",,
2296,,,Small child restraint,"staff, also kicking classroom materials around. Student was placed in a small child 2 person hold for his safety",,
2297,2018-2019 Y,3/19/2019,"2 person hold
Classroom",as well as staff. He was released shortly after when he began to calm enough to be safe. Student was,,
2298,,,,Student ran from adults because he was upset that his glasses broke the night prior; staff eventually were,,
2299,,,,able to get him to the support area for a break. He refused his usual break and began to climb various things,,
2300,,,Small child restraint,and was told to sit calmly with staff. He was unable to calm himself even when the teacher came down to,,
2301,2018-2019 Y,3/21/2019,"1 person hold
Other",assist. He bega again trying to throw various objects at staff and so was placed into a small child 1 person,,
2302,,,,xxx was frustrated and making unsafe choices within the classroom. He was verbally redirected to the,,
2303,,,Small child restraint,support area to utilize the space as a means to help him regain control of his behaviors. He was unsafe by,,
2304,2018-2019 Y,3/22/2019,"1 person hold
Calm Room","climbing onto desks tipping chairs, and attempting to run away. Due to these unsafe behaviors xxx was",,
